rcp_77d569c1	AR2603-061	2026-05-21	IV2603-060	00902024	Warehouse Service Center (2024)		43843.25		43843.25		18.05.2026 รับเช็คแล้ว รอฝากเช็ค(พี่คิว) | ผู้รับโอนสิทธิ: WTP | ลูกค้า: เทศบาลตำบลกลางหมื่น
rcp_679eeaad	AR2604-005	2026-05-15	IV2604-005	16602025	บ้านพรุกง ม.2 ต.วังใหญ่ อ.เทพา จ.สงขลา (6901-01)		231525		231525		07.05.2026 อยู่ระหว่างจัดทำเช็ค / คุณรัชฎา 089-289-0844 | ผู้รับโอนสิทธิ: WTP | ลูกค้า: องค์การบริหารส่วนตำบลวังใหญ่
rcp_19eaa3fc	AR2604-015	2026-05-20	IV2604-015	01202026	โรงเรียนเทศบาลคลองท่อมใต้ ม.2 ต.คลองท่อมใต้ อ.คลองท่อม จ.กระบี่ (6901-01)		1300000		1300000		18.05.2026 รอธนาคาร กดยืนยัน / คุณกิติสุข 0945863251 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: เทศบาลตำบลคลองท่อมใต้
rcp_c40528b7	AR2604-016	2026-05-20	IV2604-016	01302026	ศูนย์พัฒนาเด็กเล็กเทศบาลตําบลคลองท่อมใต้ อาคาร ๑ ม.2 ต.คลองท่อมใต้ อ.คลองท่อม จ.กระบี่ (6901-01)		1300000		1300000		18.05.2026 รอธนาคาร กดยืนยัน / คุณกิติสุข 0945863251 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: เทศบาลตำบลคลองท่อมใต้
rcp_9ff56504	AR2603-053	2026-05-05	IV2603-052	18502025	บ้านแม่ขิ ม.1 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่ (6901-01)		3234000		3234000		23.04.2026 เช็คออกแล้ว รอเข้ารับเช็ค 05.05 / คุณตรี 083-4769333 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลศรีดงเย็น
rcp_f3c68045	AR2602-037	2026-04-27	IV2602-038	18502025	บ้านแม่ขิ ม.1 ต.ศรีดงเย็น อ.ไชยปราการ จ.เชียงใหม่ (6901-01)		2156000		2156000		20.04.2026 เช็คออกแล้ว เข้ารับเช็ค 22.04 / คุณตรี 083-4769333 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลศรีดงเย็น
rcp_8fec07c3	AR2603-054	2026-04-24	IV2603-053	16702025	บ้านฮ่องกอก ม.7 ต.บ่อแฮ้ว อ.เมืองลำปาง จ.ลำปาง (6901-01)		2040000		2040000		24.04.2026 เงินเข้าแล้ว / คุณเอื้อมพร 097-921-9044 | ผู้รับโอนสิทธิ: WTP | ลูกค้า: องค์การบริหารส่วนตำบลบ่อแฮ้ว
rcp_7b1b8bf9	AR2603-063	2026-04-20	IV2603-062	00802026	ม.7 ต.ดอนประดู่ อ.ปากพะยูน จ.พัทลุง (6901-01)		1300000		1300000		20.04.2026  เงินเข้าแล้ว | ผู้รับโอนสิทธิ: LIT | ลูกค้า: เทศบาลตำบลดอนประดู่
rcp_ca3251fa	AR2603-045	2026-05-05	IV2603-045	00702026	ที่ทำการองค์การบริหารส่วนตำบลวิเชตนคร ม.1 ต.วิเชตนคร อ.แจ้ห่ม จ.ลำปาง (6901-01)		1100000		1100000		05.05.2026 รับเช็คแล้ว รอเงินเข้า / คุณอนัญญา 0835946466 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลวิเชตนคร
rcp_7b6af593	AR2603-058	2026-04-10	IV2603-057	14802025	บ้านดงสวาง ม.6 ต.สงเปลือย อ.นามน จ.กาฬสินธุ์ (6801-01)		3527400		3527400		10.04.2026 เงินเข้าแล้ว | ผู้รับโอนสิทธิ: LIT | ลูกค้า: เทศบาลตำบลสงเปลือย
rcp_2af7bd54	AR2603-047	2026-05-08	IV2603-047	16802025	หนองแสง ม.1 ต.ศรีสว่าง อ.นาโพธิ์ จ.บุรีรัมย์ (6901-01)		3240000		3240000		23.04.2026 เช็คออกแล้ว รอเข้ารับเช็ค 05.05 / คุณกมลวรรณ 063-756-6243 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลศรีสว่าง
rcp_02b160c3	AR2603-050	2026-04-30	IV2603-050	00502026	บ้านเขาโล้น ม.9 ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี (6901-01)		1100000		1100000		21.04.2026 อยู่ระหว่างจัดทำเช็ค (ไม่ทันอาทิตย์นี้ แต่ภายในเดือนนี้) / คุณจา 080-660-7929 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลวังคัน
rcp_2839389d	AR2603-049	2026-04-30	IV2603-049	00402026	บ้านกกซาง ม.8 ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี (6901-01)		1100000		1100000		21.04.2026 อยู่ระหว่างจัดทำเช็ค (ไม่ทันอาทิตย์นี้ แต่ภายในเดือนนี้) / คุณจา 080-660-7929 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลวังคัน
rcp_df3bce69	AR2603-048	2026-04-30	IV2603-048	00302026	บ้านดงรัง ม.4 ต.วังคัน อ.ด่านช้าง จ.สุพรรณบุรี (6901-01)		1100000		1100000		21.04.2026 อยู่ระหว่างจัดทำเช็ค (ไม่ทันอาทิตย์นี้ แต่ภายในเดือนนี้) / คุณจา 080-660-7929 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลวังคัน
rcp_511bd6b5	AR2603-046	2026-04-24	IV2603-046	00902026	บ้านดู่ทุ่ง ม.2 ต.ดู่ทุ่ง อ.เมืองยโสธร จ.ยโสธร (6901-01)		1098000		1098000		24.04.2026 เงินเข้าแล้ว / คุณเสาวนีย์ 0949635142 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลดู่ทุ่ง
rcp_cfc0aa6f	AR2603-044	2026-04-20	IV2603-044	18602025	บ้านห้วยต่อ ม.1 ต.ไม้ฝาด อ.สิเกา จ.ตรัง (6901-01)		1100000		1100000		20.04.2026 เงินเข้าแล้ว / คุณจินดา 082-8409706 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลไม้ฝาด
rcp_6795a814	AR2603-032	2026-04-20	IV2603-032	16502025	บ้านวังขุม ม.1 ต.เขาวง อ.บ้านตาขุน จ.สุราษฎร์ธานี (6901-01)		3240000		3240000		20.04.2026 เงินเข้าแล้ว / คุณรชดา 097-9363895 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลเขาวง
rcp_70113fa7	AR2603-030	2026-04-01	IV2603-030	17602025	ศูนย์พัฒนาเด็กเล็กบ้านบ่อมะม่วง ม.4 ต.ทรายขาว อ.คลองท่อม จ.กระบี่ (6901-01)		1286000		1286000		01.04.2026 เงินเข้าแล้ว | ผู้รับโอนสิทธิ: WTP | ลูกค้า: เทศบาลตำบลทรายขาว
rcp_b205c923	AR2603-029	2026-03-30	IV2603-029	17402025	ท่าเรือบ้านบ่อมะม่วง ม.4 ต.ทรายขาว อ.คลองท่อม จ.กระบี่ (6901-01)		1286000		1286000		30.03.2026 เงินเข้าแล้ว | ผู้รับโอนสิทธิ: WTP | ลูกค้า: เทศบาลตำบลทรายขาว
rcp_c44c3e40	AR2603-028	2026-04-07	IV2603-028	17502025	มัสยิดบ้านห้วยลึก ม.1 ต.ทรายขาว อ.คลองท่อม จ.กระบี่ (6901-01)		1286000		1286000		07.04.2026 เงินเข้าแล้ว | ผู้รับโอนสิทธิ: WTP | ลูกค้า: เทศบาลตำบลทรายขาว
rcp_402067ed	AR2603-026	2026-04-10	IV2603-026	17102025	บ้านปากคลองวัด ม.8 ต.บางอ้อ อ.บ้านนา จ.นครนายก (6901-01)		2060000		2060000		10.04.2026 เงินเข้าแล้ว / ผอ.กองคลัง 086-0458420 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลบางอ้อ
rcp_b2e3b434	AR2603-012	2026-03-26	IV2603-012	18402025	ม.6 ต.สองสลึง อ.แกลง จ.ระยอง (6901-01)		1300000		1300000		26.03.2026 เงินเข้าแล้ว / คุณเชอรี่ 094-5699845 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: เทศบาลตำบลสองสลึง
rcp_2a342cbb	AR2603-011	2026-03-27	IV2603-011	18302025	ม.5 ต.สองสลึง อ.แกลง จ.ระยอง (6901-01)		2060000		2060000		27.03.2026 เงินเข้าแล้ว / คุณเชอรี่ 094-5699845 | ผู้รับโอนสิทธิ: FUNDING | ลูกค้า: เทศบาลตำบลสองสลึง
rcp_ec08f7c9	AR2603-010	2026-03-27	IV2603-010	18202025	ม.2 ต.สองสลึง อ.แกลง จ.ระยอง (6901-01)		2060000		2060000		27.03.2026 เงินเข้าแล้ว / คุณเชอรี่ 094-5699845 | ผู้รับโอนสิทธิ: FUNDING | ลูกค้า: เทศบาลตำบลสองสลึง
rcp_315ecb5f	AR2603-059	2026-05-12	IV2603-058	15502025	บ้านสระแก ม.7 ต.ทองหลาง อ.บ้านใหม่ไชยพจน์ จ.บุรีรัมย์ (6901-01)		3240000		3240000		12.05.2026 เงินเข้าแล้ว / คุญวิทยา 0625240398 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลทองหลาง
rcp_339178eb	AR2602-036	2026-03-26	IV2602-037	16302025	บ้านห้วยโต้ ม.4 ต.ทับปริก อ.เมืองกระบี่ จ.กระบี่ (6901-01)		1100000		1100000		26.03.2026 เงินเข้าแล้ว / คุณณาตยา 098-2268863 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลทับปริก
rcp_95e79ee7	AR2602-035	2026-03-11	IV2602-036	15902025	บ้านเขาเฒ่า ม.3 ต.บางเตย อ.เมืองพังงา จ.พังงา (6901-01)		3237000		3237000		11.03.2026 เงินเข้าแล้ว | ผู้รับโอนสิทธิ: STS | ลูกค้า: เทศบาลตำบลบางเตย
rcp_b6e3fc22	AR2602-031	2026-03-17	IV2602-032	15602025	บ้านช่องเอี่ยว ม.7 ต.ทุ่งหลวง อ.ละแม จ.ชุมพร (6901-01)		5380000		5380000		17.03.2026 เงินเข้าแล้ว | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลทุ่งหลวง
rcp_b011db8a	AR2602-030	2026-03-19	IV2602-031	15002025	บ้านหัวป่าขลู่ ม.3 ต.ป่าระกำ อ.ปากพนัง จ.นครศรีธรรมราช (6901-01)		1100000		1100000		10.03.2026 เช็คออกแล้ว เข้ารับเช็ค 18.03 / คุณสายฝน 062-2087864 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลป่าระกำ
rcp_1fb04d02		2026-04-23	IV2602-030				808500		808500		23.04.2026 เงินเข้าแล้ว/ คุณฮาลีเมาะ 088-981-4953 | ผู้รับโอนสิทธิ: Funding
rcp_8821a8e3		2026-04-23	IV2602-029				808500		808500		23.04.2026 เงินเข้าแล้ว/ คุณฮาลีเมาะ 088-981-4953 | ผู้รับโอนสิทธิ: Funding
rcp_db51f1b1	AR2602-027	2026-04-30	IV2602-027	16202025	บ้านทองหลาง ม.3 ต.บ้านนา อ.กะเปอร์ จ.ระนอง (6901-01)		2160000		2160000		20.04.2026 เช็คออกแล้ว รอเข้ารับเช็ค / คุณอีด 065-8797139 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลบ้านนา
rcp_75847515	AR2602-024	2026-03-19	IV2602-024	15202025	บ้านในไร่ ม.5 ต.ป่าระกำ อ.ปากพนัง จ.นครศรีธรรมราช (6901-01)		1100000		1100000		10.03.2026 เช็คออกแล้ว เข้ารับเช็ค 18.03 / คุณสายฝน 062-2087864 | ผู้รับโอนสิทธิ: LIT | ลูกค้า: องค์การบริหารส่วนตำบลป่าระกำ
